2026-04-22 13:10:20,310 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 2, 4)
2026-04-22 13:10:20,310 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(5), np.int64(2), np.int64(4)) with prob = 0.1711648
2026-04-22 13:10:20,310 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.508, 0.086, 724.437)
2026-04-22 13:10:20,310 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:23,300 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:23,313 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 4)
2026-04-22 13:10:23,313 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(2), np.int64(4)) with prob = 1.0
2026-04-22 13:10:23,313 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 4.121544369087537e-59
2026-04-22 13:10:23,314 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.508, -0.524, 994.437)
2026-04-22 13:10:23,314 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, -0.610, -90.000)
2026-04-22 13:10:23,314 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.203, 0.086, 1084.437)
2026-04-22 13:10:23,314 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:24,376 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:24,381 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 1, 4)
2026-04-22 13:10:24,381 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(7), np.int64(0), np.int64(4)) with prob = 0.1992187
2026-04-22 13:10:24,381 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.072, 0.316, 1084.437)
2026-04-22 13:10:24,382 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:27,371 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:27,387 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 0, 4)
2026-04-22 13:10:27,387 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(7), np.int64(1), np.int64(4)) with prob = 1.0
2026-04-22 13:10:27,387 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.011110713569346382
2026-04-22 13:10:27,387 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.539, -0.923, 1354.437)
2026-04-22 13:10:27,388 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, -0.914, -90.000)
2026-04-22 13:10:27,388 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.071, -0.008, 1444.437)
2026-04-22 13:10:27,388 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:30,445 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:30,453 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (8, 0, 8)
2026-04-22 13:10:30,453 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(5), np.int64(0), np.int64(12)) with prob = 0.1620575
2026-04-22 13:10:30,453 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.796, 0.153, 1368.947)
2026-04-22 13:10:30,453 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:33,448 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:33,464 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (8, 0, 8)
2026-04-22 13:10:33,464 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(1), np.int64(8)) with prob = 0.9999993
2026-04-22 13:10:33,464 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.0005136664345644787
2026-04-22 13:10:33,464 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.796, -1.067, 1798.947)
2026-04-22 13:10:33,465 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, -0.914, -10.000)
2026-04-22 13:10:33,465 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.491, -0.152, 1808.947)
2026-04-22 13:10:33,465 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:39,533 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:39,539 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 0, 11)
2026-04-22 13:10:39,539 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(7), np.int64(0), np.int64(9)) with prob = 0.2215037
2026-04-22 13:10:39,540 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.961, 0.293, 1837.503)
2026-04-22 13:10:39,540 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:42,504 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:42,518 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 0, 11)
2026-04-22 13:10:42,519 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(10), np.int64(1), np.int64(11)) with prob = 1.0
2026-04-22 13:10:42,519 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.002973443776365673
2026-04-22 13:10:42,519 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.570, -0.926, 2207.818)
2026-04-22 13:10:42,520 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, -0.914, 50.000)
2026-04-22 13:10:42,520 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.046, -0.011, 2157.818)
2026-04-22 13:10:42,520 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:44,583 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:44,590 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 2, 12)
2026-04-22 13:10:44,591 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(11), np.int64(3), np.int64(12)) with prob = 0.1018000
2026-04-22 13:10:44,591 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.167, -0.252, 2165.995)
2026-04-22 13:10:44,591 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:47,566 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:47,576 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 2, 12)
2026-04-22 13:10:47,576 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(11), np.int64(3), np.int64(13)) with prob = 1.0
2026-04-22 13:10:47,576 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.095591701673783
2026-04-22 13:10:47,577 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.667, -0.538, 2595.995)
2026-04-22 13:10:47,577 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, -0.305, 90.000)
2026-04-22 13:10:47,577 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.162, -0.233, 2505.995)
2026-04-22 13:10:47,577 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:49,641 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:49,647 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 3, 13)
2026-04-22 13:10:49,647 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(11), np.int64(5), np.int64(13)) with prob = 0.1096378
2026-04-22 13:10:49,647 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.076, -0.499, 2511.630)
2026-04-22 13:10:49,648 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:52,622 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:52,637 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 3, 13)
2026-04-22 13:10:52,637 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(11), np.int64(3), np.int64(13)) with prob = 1.0
2026-04-22 13:10:52,637 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.4867752222078385e-16
2026-04-22 13:10:52,637 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.753, -0.194, 2961.630)
