2026-04-15 14:23:49,263 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2026-04-15 14:23:49,490 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2026-04-15 14:23:50,264 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-15 14:23:50,769 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-15 14:23:51,505 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-15 14:23:51,937 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-15 14:23:52,931 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-15 14:23:56,196 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-15 14:25:17,890 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-15 14:25:17,890 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-15 14:25:43,253 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-15 14:25:43,253 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-15 14:25:43,254 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-15 14:25:43,254 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-15 14:25:43,254 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-15 14:25:43,254 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-15 14:25:43,254 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-15 14:25:53,652 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-15 14:25:53,653 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-15 14:25:55,660 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-15 14:25:55,660 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-15 14:25:55,660 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-15 14:25:55,660 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-15 14:25:55,660 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-15 14:25:55,660 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-15 14:25:55,660 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-15 14:30:36,118 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-15 14:30:36,118 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-15 14:30:48,574 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-15 14:30:48,574 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-15 14:30:48,574 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-15 14:30:48,574 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-15 14:30:48,574 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-15 14:30:48,574 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-15 14:30:48,574 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-15 14:31:26,750 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-15 14:31:27,135 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-15 14:34:40,349 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-15 14:34:40,349 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-15 14:40:38,644 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-15 14:40:38,645 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-15 14:40:38,645 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-15 14:40:38,645 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-15 14:40:38,645 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-15 14:40:38,645 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-15 14:40:38,645 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-15 14:40:54,388 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-15 14:40:54,388 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-15 14:40:54,388 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-15 14:40:54,388 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-15 14:40:54,388 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-15 14:40:54,388 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-15 14:40:54,388 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-15 14:41:10,018 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-15 14:47:07,590 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-15 14:47:07,590 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-15 14:47:07,590 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-15 14:47:07,590 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-15 14:47:07,590 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-15 14:47:07,590 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-15 14:47:07,590 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-15 14:47:20,549 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-22 13:07:08,171 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-22 13:07:08,171 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-22 13:07:08,171 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-22 13:07:08,171 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-22 13:07:08,171 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
